,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,ID PRODUIT [FAMILLE DE PRODUIT] ,,,,,,,,
,,FROID ,,,,,,,,
,,,CON-011,GIVRE ,CON-003-C01,JOIN DE PORTE ,CON-003-S01,CHANGE JOIN DE PORTE,,
,,,CON-012,GIVRE ,CON-003-C02,THERMOSTAT,CON-003-S02,CHANGE THERMOSTAT ,,
,,,CON-013,GIVRE ,CON-003-C03,POUMELLE DE PORTE ,CON-003-S03,CHANGE POUMELLE DE PORTE ,,
,,,CODE PANNE ,PANNE,CODE CAUSE [SYMTOME],CAUSE ,CODE SOLUTION ,SOLUTION ,CODE PDR ,PDR 
,,GN-BD(W)-140,CON-001,PAS DE FROID ,CON-001-C01,COMPRESSEUR ,CON-001-S01,CHANGE COMPRESSEUR ,,
,,,CON-002,PAS DE FROID ,CON-001-C02,RELAIS +CLIXON ,CON-001-S02,CHANGE RELAIS+CLIXON ,,
,,,CON-003,PAS DE FROID ,CON-001-C03,CABLE D'ALLUMANTATION ,CON-001-S03,CHANGE CABLE D'ALLUMANTATION,,
,,,CON-004,PAS DE FROID ,CON-001-C04,THERMOSTAT ,CON-001-S04,CHANGE THERMOSTAT ,,
,,,CON-005,PAS DE FROID ,CON-001-C05,BOUCHAGE CERCUIT ,CON-001-S05,DEBOUCHAGE CERCUIT ,,
,,,CON-006,PAS DE FROID ,CON-001-C06,FUITE DE GAZ A L'EXTERIEUR ,CON-001-S06,SOUDURE FUITE DE GAZ ,,
,,,CON-007,PAS DE FROID ,CON-001-C07,FUITE DE GAZ A L'INTERIEUR  ,CON-001-S07,CHANGEMENT BODY ,,
,,,CON-008,PAS DE FROID ,CON-001-C08,MANQUE DE GAZ ,CON-001-S08,CHARGEMENT DE GAZ ,,
,,,CODE PANNE ,PANNE,CODE CAUSE [SYMTOME],CAUSE ,CODE SOLUTION ,SOLUTION ,CODE PDR ,PDR 
,,,CON-009,BRUIT,CON-002-C01,COMPRESSEUR ,CON-002-S01,CHANGE COMPRESSEUR ,,
,,,CON-010,BRUIT,CON-002-C02,AMORTISSEUR COMPRESSEUR ,CON-002-S02,CHANGE AMORTISSEUR COMPRESSEUR ,,
,,,CON-011,BRUIT,CON-002-C03, COMPRESSEUR ,CON-002-S03,REGLAGE COMPRESSEUR ,,
,,,CODE PANNE ,PANNE,CODE CAUSE [SYMTOME],CAUSE ,CODE SOLUTION ,SOLUTION ,CODE PDR ,PDR 
,,,CON-011,GIVRE ,CON-003-C01,JOIN DE PORTE ,CON-003-S01,CHANGE JOIN DE PORTE,,
,,,CON-012,GIVRE ,CON-003-C02,THERMOSTAT,CON-003-S02,CHANGE THERMOSTAT ,,
,,,CON-013,GIVRE ,CON-003-C03,POUMELLE DE PORTE ,CON-003-S03,CHANGE POUMELLE DE PORTE ,,
,,,CODE PANNE ,PANNE,CODE CAUSE [SYMTOME],CAUSE ,CODE SOLUTION ,SOLUTION ,CODE PDR ,PDR 
,,GN-CFH-330,CON-001,PAS DE FROID ,CON-001-C01,COMPRESSEUR ,CON-001-S01,CHANGE COMPRESSEUR ,,
,,,CON-002,PAS DE FROID ,CON-001-C02,RELAIS +CLIXON ,CON-001-S02,CHANGE RELAIS+CLIXON ,,
,,,CON-003,PAS DE FROID ,CON-001-C03,CABLE D'ALLUMANTATION ,CON-001-S03,CHANGE CABLE D'ALLUMANTATION,,
,,,CON-004,PAS DE FROID ,CON-001-C04,THERMOSTAT ,CON-001-S04,CHANGE THERMOSTAT ,,
,,,CON-005,PAS DE FROID ,CON-001-C05,BOUCHAGE CERCUIT ,CON-001-S05,DEBOUCHAGE CERCUIT ,,
